,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,
196713,"	0","	5","	3","	4","	147","	16","	14","	0","	0","	10","	38","	0","	2","	5","	28","	35","	6","	15","	10","	14","	18","	7","	41","	13","	24","	15","	8","	5","	2","	3","	3","	55","	0","	0","	59","	20","	3","	14","	39","	7","	3","	1","	18","	56","	8","	20","	0","	30","	11","	6","	1","	"
196714,"	0","	3","	2","	6","	109","	2","	9","	2","	4","	10","	3","	0","	13","	2","	45","	17","	1","	17","	7","	18","	11","	7","	23","	8","	41","	1","	5","	7","	0","	0","	1","	18","	11","	3","	53","	25","	4","	14","	24","	4","	1","	1","	16","	60","	0","	5","	0","	15","	9","	5","	2","	"
196715,"	1","	12","	3","	7","	127","	3","	3","	0","	1","	17","	23","	0","	2","	0","	38","	14","	4","	23","	11","	22","	19","	2","	43","	13","	38","	12","	5","	9","	1","	3","	1","	42","	14","	1","	94","	36","	2","	9","	38","	5","	1","	0","	14","	67","	1","	30","	0","	13","	10","	8","	0","	"
196716,"	1","	20","	9","	3","	110","	0","	4","	0","	0","	15","	16","	4","	5","	2","	4","	11","	3","	35","	10","	27","	31","	3","	41","	1","	28","	10","	3","	11","	2","	1","	2","	19","	6","	1","	39","	30","	1","	17","	27","	0","	1","	0","	17","	38","	2","	8","	0","	13","	6","	8","	0","	"
196717,"	0","	9","	5","	11","	124","	3","	15","	1","	3","	7","	9","	0","	9","	4","	39","	27","	3","	18","	9","	12","	10","	2","	21","	5","	35","	7","	5","	4","	2","	1","	0","	21","	14","	0","	81","	26","	5","	18","	45","	3","	0","	0","	15","	80","	2","	23","	0","	15","	5","	7","	0","	"
196718,"	2","	0","	2","	5","	140","	3","	11","	0","	7","	16","	17","	0","	9","	1","	37","	19","	2","	12","	7","	7","	13","	5","	39","	17","	26","	15","	2","	3","	4","	3","	0","	70","	1","	1","	80","	19","	10","	17","	34","	1","	0","	1","	16","	60","	1","	8","	1","	8","	6","	9","	2","	"
196719,"	0","	8","	2","	11","	121","	16","	11","	1","	2","	14","	6","	0","	9","	1","	30","	9","	2","	27","	8","	17","	17","	1","	51","	13","	59","	6","	3","	8","	1","	2","	3","	22","	6","	0","	63","	28","	4","	18","	28","	3","	1","	0","	15","	68","	2","	32","	2","	15","	3","	1","	1","	"
196720,"	0","	9","	1","	8","	142","	11","	12","	1","	7","	12","	26","	0","	8","	3","	35","	8","	4","	14","	12","	10","	17","	3","	42","	13","	35","	10","	0","	2","	1","	0","	1","	27","	5","	0","	41","	31","	4","	12","	41","	6","	1","	1","	18","	78","	17","	26","	1","	72","	9","	4","	2","	"
196721,"	0","	6","	2","	11","	119","	7","	6","	2","	1","	23","	11","	0","	2","	0","	46","	16","	2","	9","	15","	18","	7","	1","	33","	7","	25","	9","	2","	10","	0","	0","	2","	31","	7","	0","	71","	20","	3","	13","	22","	3","	10","	0","	12","	39","	0","	30","	0","	37","	14","	8","	0","	"
196722,"	1","	0","	0","	3","	104","	3","	12","	0","	10","	20","	14","	0","	2","	0","	32","	5","	3","	10","	8","	7","	9","	6","	19","	2","	14","	5","	0","	6","	1","	0","	0","	12","	3","	0","	44","	17","	2","	10","	13","	4","	1","	0","	14","	56","	2","	0","	0","	18","	19","	4","	4","	"
196723,"	0","	6","	3","	2","	146","	6","	4","	0","	10","	13","	25","	0","	2","	0","	34","	11","	5","	14","	7","	7","	10","	2","	33","	9","	23","	11","	1","	1","	5","	0","	0","	21","	6","	0","	39","	19","	4","	8","	37","	5","	0","	1","	12","	64","	2","	8","	0","	1","	11","	4","	5","	"
196724,"	0","	3","	3","	7","	141","	4","	18","	0","	5","	23","	8","	1","	1","	1","	30","	7","	2","	25","	11","	13","	26","	3","	30","	4","	23","	10","	2","	5","	0","	1","	0","	18","	48","	0","	96","	22","	2","	15","	32","	0","	0","	0","	12","	42","	9","	15","	0","	14","	5","	3","	2","	"
196725,"	5","	2","	4","	3","	137","	6","	5","	1","	3","	14","	7","	0","	5","	2","	36","	7","	5","	15","	11","	13","	14","	3","	25","	13","	29","	8","	1","	9","	1","	0","	1","	12","	10","	0","	75","	26","	9","	6","	21","	3","	2","	0","	18","	66","	4","	14","	0","	8","	9","	5","	5","	"
